DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
1, comb, down, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.969847*((1.+(0.00198856*x))/(1.+(0.00255684*x))))-0.051212839782238007" 
1, comb, down, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.969847*((1.+(0.00198856*x))/(1.+(0.00255684*x))))-0.017152789980173111" 
1, comb, down, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.969847*((1.+(0.00198856*x))/(1.+(0.00255684*x))))-0.015804210677742958" 
1, comb, down, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.969847*((1.+(0.00198856*x))/(1.+(0.00255684*x))))-0.015481247566640377" 
1, comb, down, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.969847*((1.+(0.00198856*x))/(1.+(0.00255684*x))))-0.018085137009620667" 
1, comb, down, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.969847*((1.+(0.00198856*x))/(1.+(0.00255684*x))))-0.021145999431610107" 
1, comb, down, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.969847*((1.+(0.00198856*x))/(1.+(0.00255684*x))))-0.035744410008192062" 
1, comb, down, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.969847*((1.+(0.00198856*x))/(1.+(0.00255684*x))))-0.036785773932933807" 
1, comb, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.969847*((1.+(0.00198856*x))/(1.+(0.00255684*x))))-0.11096716672182083" 
1, comb, up, 1, -2.5, 2.5, 20, 30, 0, 1, "(0.969847*((1.+(0.00198856*x))/(1.+(0.00255684*x))))+0.15363851189613342" 
1, comb, up, 1, -2.5, 2.5, 30, 50, 0, 1, "(0.969847*((1.+(0.00198856*x))/(1.+(0.00255684*x))))+0.051458369940519333" 
1, comb, up, 1, -2.5, 2.5, 50, 70, 0, 1, "(0.969847*((1.+(0.00198856*x))/(1.+(0.00255684*x))))+0.047412633895874023" 
1, comb, up, 1, -2.5, 2.5, 70, 100, 0, 1, "(0.969847*((1.+(0.00198856*x))/(1.+(0.00255684*x))))+0.046443741768598557" 
1, comb, up, 1, -2.5, 2.5, 100, 140, 0, 1, "(0.969847*((1.+(0.00198856*x))/(1.+(0.00255684*x))))+0.054255411028862" 
1, comb, up, 1, -2.5, 2.5, 140, 200, 0, 1, "(0.969847*((1.+(0.00198856*x))/(1.+(0.00255684*x))))+0.063437998294830322" 
1, comb, up, 1, -2.5, 2.5, 200, 300, 0, 1, "(0.969847*((1.+(0.00198856*x))/(1.+(0.00255684*x))))+0.10723322629928589" 
1, comb, up, 1, -2.5, 2.5, 300, 600, 0, 1, "(0.969847*((1.+(0.00198856*x))/(1.+(0.00255684*x))))+0.11035732179880142" 
1, comb, up, 1, -2.5, 2.5, 600, 1000, 0, 1, "(0.969847*((1.+(0.00198856*x))/(1.+(0.00255684*x))))+0.33290150761604309" 
1, comb, up, 0, -2.5, 2.5, 20, 30, 0, 1, "(0.969847*((1.+(0.00198856*x))/(1.+(0.00255684*x))))+0.051212839782238007" 
1, comb, up, 0, -2.5, 2.5, 30, 50, 0, 1, "(0.969847*((1.+(0.00198856*x))/(1.+(0.00255684*x))))+0.017152789980173111" 
1, comb, up, 0, -2.5, 2.5, 50, 70, 0, 1, "(0.969847*((1.+(0.00198856*x))/(1.+(0.00255684*x))))+0.015804210677742958" 
1, comb, up, 0, -2.5, 2.5, 70, 100, 0, 1, "(0.969847*((1.+(0.00198856*x))/(1.+(0.00255684*x))))+0.015481247566640377" 
1, comb, up, 0, -2.5, 2.5, 100, 140, 0, 1, "(0.969847*((1.+(0.00198856*x))/(1.+(0.00255684*x))))+0.018085137009620667" 
1, comb, up, 0, -2.5, 2.5, 140, 200, 0, 1, "(0.969847*((1.+(0.00198856*x))/(1.+(0.00255684*x))))+0.021145999431610107" 
1, comb, up, 0, -2.5, 2.5, 200, 300, 0, 1, "(0.969847*((1.+(0.00198856*x))/(1.+(0.00255684*x))))+0.035744410008192062" 
1, comb, up, 0, -2.5, 2.5, 300, 600, 0, 1, "(0.969847*((1.+(0.00198856*x))/(1.+(0.00255684*x))))+0.036785773932933807" 
1, comb, up, 0, -2.5, 2.5, 600, 1000, 0, 1, "(0.969847*((1.+(0.00198856*x))/(1.+(0.00255684*x))))+0.11096716672182083" 
1, mujets, central, 1, -2.5, 2.5, 20, 1000, 0, 1, "1.02475*((1.+(0.0059128*x))/(1.+(0.00790218*x)))" 
1, mujets, central, 0, -2.5, 2.5, 20, 1000, 0, 1, "1.02475*((1.+(0.0059128*x))/(1.+(0.00790218*x)))" 
1, mujets, down, 1, -2.5, 2.5, 20, 30, 0, 1, "(1.02475*((1.+(0.0059128*x))/(1.+(0.00790218*x))))-0.161028191447258" 
1, mujets, down, 1, -2.5, 2.5, 30, 50, 0, 1, "(1.02475*((1.+(0.0059128*x))/(1.+(0.00790218*x))))-0.078693985939025879" 
1, mujets, down, 1, -2.5, 2.5, 50, 70, 0, 1, "(1.02475*((1.+(0.0059128*x))/(1.+(0.00790218*x))))-0.078612744808197021" 
1, mujets, down, 1, -2.5, 2.5, 70, 100, 0, 1, "(1.02475*((1.+(0.0059128*x))/(1.+(0.00790218*x))))-0.10598199069499969" 
1, mujets, down, 1, -2.5, 2.5, 100, 140, 0, 1, "(1.02475*((1.+(0.0059128*x))/(1.+(0.00790218*x))))-0.10264283418655396" 
1, mujets, down, 1, -2.5, 2.5, 140, 200, 0, 1, "(1.02475*((1.+(0.0059128*x))/(1.+(0.00790218*x))))-0.12459111213684082" 
1, mujets, down, 1, -2.5, 2.5, 200, 300, 0, 1, "(1.02475*((1.+(0.0059128*x))/(1.+(0.00790218*x))))-0.17144666612148285" 
1, mujets, down, 1, -2.5, 2.5, 300, 600, 0, 1, "(1.02475*((1.+(0.0059128*x))/(1.+(0.00790218*x))))-0.11855997145175934" 
1, mujets, down, 1, -2.5, 2.5, 600, 1000, 0, 1, "(1.02475*((1.+(0.0059128*x))/(1.+(0.00790218*x))))-0.3218543529510498" 
1, mujets, down, 0, -2.5, 2.5, 20, 30, 0, 1, "(1.02475*((1.+(0.0059128*x))/(1.+(0.00790218*x))))-0.053676065057516098" 
1, mujets, down, 0, -2.5, 2.5, 30, 50, 0, 1, "(1.02475*((1.+(0.0059128*x))/(1.+(0.00790218*x))))-0.026231328025460243" 
1, mujets, down, 0, -2.5, 2.5, 50, 70, 0, 1, "(1.02475*((1.+(0.0059128*x))/(1.+(0.00790218*x))))-0.026204248890280724" 
1, mujets, down, 0, -2.5, 2.5, 70, 100, 0, 1, "(1.02475*((1.+(0.0059128*x))/(1.+(0.00790218*x))))-0.035327330231666565" 
1, mujets, down, 0, -2.5, 2.5, 100, 140, 0, 1, "(1.02475*((1.+(0.0059128*x))/(1.+(0.00790218*x))))-0.034214276820421219" 
1, mujets, down, 0, -2.5, 2.5, 140, 200, 0, 1, "(1.02475*((1.+(0.0059128*x))/(1.+(0.00790218*x))))-0.041530370712280273" 
1, mujets, down, 0, -2.5, 2.5, 200, 300, 0, 1, "(1.02475*((1.+(0.0059128*x))/(1.+(0.00790218*x))))-0.05714888870716095" 
1, mujets, down, 0, -2.5, 2.5, 300, 600, 0, 1, "(1.02475*((1.+(0.0059128*x))/(1.+(0.00790218*x))))-0.039519991725683212" 
1, mujets, down, 0, -2.5, 2.5, 600, 1000, 0, 1, "(1.02475*((1.+(0.0059128*x))/(1.+(0.00790218*x))))-0.1072847843170166" 
1, mujets, up, 1, -2.5, 2.5, 20, 30, 0, 1, "(1.02475*((1.+(0.0059128*x))/(1.+(0.00790218*x))))+0.161028191447258" 
