#Contacts: Martin Flechl, Steve Sekula, Maria Ubiali, Date: Apr 8, 2015
#######################################################################
#IF YOU USE THESE NUMBERS, CITE *AT LEAST* THE REFERENCES GIVEN HERE: https://twiki.cern.ch/twiki/bin/view/LHCPhysics/LHCHXSWGMSSMCharged#Citation_guide
#######################################################################
#A preliminary version of grid of Santander-matched cross sections in tan beta (0.1-60) and mH+ (200-1000 GeV), sqrt(s)=13 TeV, in units of GeV and picobarn.
#Also given are total uncertainties (PDF, alphas, scale, mb). Numbers are for 2HDM type-II (a la MSSM), but without SQCD corrections.
#The uncertainties at very low tan beta might not be accurate, please use with care and only after discussing with the authors.
#The numbers for type-II 2HDM can also be applied to type I/III/IV, if you follow the recipe outline at the end of Section 6 of arXiv:1409.5615
mhp tb xsec unc- unc+
340 0.3 11.5054 2.38763 2.37158 
340 0.4 6.47213 1.34037 1.33132 
340 0.5 4.13775 0.856201 0.850424 
340 0.6 2.87007 0.595588 0.591591 
340 0.7 2.11854 0.437979 0.434995 
340 0.8 1.61062 0.333438 0.331195 
340 0.9 1.27927 0.265879 0.264094 
340 1 1.03273 0.21381 0.212366 
340 2 0.258824 0.0536294 0.0532713 
340 3 0.117005 0.0242401 0.0240767 
340 4 0.0686448 0.0142167 0.0141199 
340 5 0.0476337 0.00985901 0.00979096 
340 6 0.0377695 0.00779648 0.00774137 
340 7 0.0334592 0.00689556 0.00684549 
340 8 0.0322911 0.00668038 0.00663079 
340 9 0.0332384 0.00685632 0.00680415 
340 10 0.0355899 0.00735637 0.00729975 
340 11 0.0392177 0.00811621 0.00805249 
340 12 0.0436978 0.00902173 0.00895009 
340 13 0.0489931 0.0101225 0.0100415 
340 14 0.0549478 0.0113728 0.0112816 
340 15 0.0617425 0.0127966 0.0126934 
340 16 0.0692344 0.0143624 0.0142458 
340 17 0.0768611 0.015905 0.0157763 
340 18 0.0855895 0.0177189 0.0175743 
340 19 0.0945442 0.0195655 0.0194062 
340 20 0.104244 0.0214624 0.0212856 
340 25 0.207404 0.0232785 0.0231768 
340 30 0.231306 0.0480367 0.0476409 
340 35 0.312532 0.0646053 0.0640747 
340 40 0.407555 0.0842613 0.0835695 
340 45 0.515963 0.106884 0.106007 
340 50 0.633435 0.130913 0.129847 
340 55 0.770062 0.159605 0.158294 
340 60 0.916754 0.189891 0.188332 
360 0.1 88.8775 17.3281 16.938 
360 0.2 22.2481 4.3145 4.21633 
360 0.3 9.88443 1.94412 1.90051 
360 0.4 5.56319 1.08588 1.06132 
360 0.5 3.56166 0.696383 0.680672 
360 0.6 2.47389 0.481565 0.470641 
360 0.7 1.8148 0.354003 0.345991 
360 0.8 1.38958 0.270405 0.264272 
360 0.9 1.09833 0.216813 0.211967 
360 1 0.889911 0.173577 0.169657 
360 2 0.223412 0.0433281 0.0423426 
360 3 0.100753 0.0197904 0.0193459 
360 4 0.0589721 0.0115113 0.0112498 
360 5 0.04091 0.00796302 0.00777968 
360 6 0.032403 0.0063069 0.00615885 
360 7 0.0286838 0.00558421 0.00544957 
360 8 0.0277242 0.00537444 0.00524055 
360 9 0.0284863 0.0055307 0.00538995 
360 10 0.0305322 0.00591159 0.00575778 
360 11 0.0393504 0.0133632 0.0130958 
360 12 0.0373502 0.00721658 0.00702397 
360 13 0.0419454 0.00808093 0.0078626 
360 14 0.0470539 0.00906734 0.00882118 
360 15 0.0528632 0.0102161 0.00993808 
360 16 0.0591124 0.0114067 0.0110947 
360 17 0.0659231 0.0127319 0.012383 
360 18 0.0732154 0.0141488 0.0137597 
360 19 0.0810545 0.0156574 0.0152259 
360 20 0.0892401 0.0172226 0.0167476 
360 25 0.13754 0.0266806 0.0259441 
360 30 0.197017 0.0383601 0.0373051 
360 35 0.267357 0.0516354 0.0502031 
360 40 0.349358 0.0678951 0.0660204 
360 45 0.44215 0.0853691 0.0829946 
360 50 0.545005 0.105496 0.102572 
360 55 0.659852 0.127429 0.123888 
360 60 0.78507 0.15164 0.147422 
380 0.1 76.1957 14.5201 14.2216 
380 0.2 19.076 3.65796 3.58292 
380 0.3 8.47782 1.61737 1.58401 
380 0.4 4.77032 0.908636 0.88988 
380 0.5 3.05307 0.582547 0.570547 
380 0.6 2.12086 0.404751 0.396416 
380 0.7 1.5596 0.297008 0.29088 
380 0.8 1.18996 0.227761 0.223072 
380 0.9 0.94186 0.178971 0.175266 
380 1 0.762938 0.14558 0.142579 
380 2 0.191198 0.0362468 0.0354948 
380 3 0.0863273 0.0164536 0.0161136 
380 4 0.0505648 0.00963433 0.00943379 
380 5 0.035069 0.00667117 0.00653039 
380 6 0.0278089 0.0052709 0.00515683 
380 7 0.0245812 0.0046582 0.00455461 
380 8 0.0237384 0.00445853 0.00435592 
380 9 0.0243603 0.00459169 0.0044839 
380 10 0.0261399 0.00490931 0.00479159 
380 11 0.0286857 0.00538208 0.00525083 
380 12 0.032012 0.00601886 0.00587077 
380 13 0.0358763 0.00676336 0.00659618 
380 14 0.0402517 0.00760247 0.00741378 
380 15 0.045191 0.00849336 0.00828043 
380 16 0.0505016 0.00950065 0.00926163 
380 17 0.0563163 0.0106226 0.0103557 
380 18 0.0625347 0.011783 0.0114858 
380 19 0.0692051 0.0130613 0.0127318 
380 20 0.0762178 0.0143313 0.0139681 
380 25 0.117633 0.0222333 0.0216717 
380 30 0.168255 0.0317604 0.0309542 
380 35 0.228478 0.0432138 0.042119 
380 40 0.298348 0.0562446 0.0548158 
380 45 0.37733 0.0709726 0.0691627 
380 50 0.46537 0.0872439 0.0850114 
380 55 0.562801 0.105978 0.103276 
380 60 0.669625 0.126019 0.122809 
400 0.1 65.6468 12.5285 12.074 
400 0.2 16.4303 3.11966 3.00551 
400 0.3 7.30481 1.39076 1.33999 
400 0.4 4.10876 0.7869 0.75834 
400 0.5 2.62751 0.502117 0.483837 
400 0.6 1.82448 0.349226 0.336535 
400 0.7 1.34355 0.257594 0.24827 
400 0.8 1.02599 0.19357 0.186435 
400 0.9 0.811666 0.154506 0.148866 
400 1 0.657289 0.12535 0.120782 
400 2 0.164831 0.0315895 0.0304438 
400 3 0.0744062 0.0142068 0.0136891 
400 4 0.0435879 0.00829747 0.00799185 
400 5 0.0302237 0.00572592 0.00551159 
400 6 0.0239026 0.00452765 0.00435443 
400 7 0.0211624 0.00396811 0.00381066 
400 8 0.0204074 0.0038726 0.00371645 
400 9 0.020987 0.00398505 0.00382078 
400 10 0.0224779 0.00420086 0.00402187 
400 11 0.0246817 0.00463584 0.00443628 
400 12 0.027482 0.00515902 0.00493418 
400 13 0.0307822 0.00579925 0.00554514 
400 14 0.0345606 0.00647828 0.00619148 
400 15 0.038804 0.00729145 0.00696801 
400 16 0.0433551 0.00816449 0.0078018 
400 17 0.0483732 0.00908146 0.00867539 
400 18 0.053712 0.0100697 0.00961829 
400 19 0.0593884 0.0111213 0.0106212 
400 20 0.0654527 0.0122657 0.011714 
400 25 0.100681 0.0188641 0.018011 
400 30 0.144603 0.0273123 0.026088 
400 35 0.196068 0.0369308 0.0352672 
400 40 0.25576 0.0481382 0.045965 
400 45 0.323894 0.0610386 0.0582899 
400 50 0.399456 0.0752857 0.0718938 
400 55 0.48321 0.0911647 0.0870602 
400 60 0.575135 0.107933 0.103047 
420 0.1 56.8526 10.7465 10.0735 
420 0.2 14.2143 2.68534 2.5162 
420 0.3 6.32483 1.19058 1.1154 
420 0.4 3.55595 0.669065 0.626748 
420 0.5 2.27698 0.43147 0.404387 
420 0.6 1.57886 0.298137 0.27933 
420 0.7 1.16359 0.218433 0.204624 
420 0.8 0.889361 0.167318 0.156737 
420 0.9 0.702869 0.132023 0.123667 
420 1 0.569451 0.107483 0.100709 
420 2 0.143027 0.0269634 0.0252638 
420 3 0.0644428 0.0120879 0.0113199 
420 4 0.037714 0.00709676 0.00664398 
420 5 0.0261544 0.00492964 0.00461131 
420 6 0.0207392 0.00390472 0.00364724 
420 7 0.0183073 0.00342581 0.0031924 
420 8 0.0176537 0.00330425 0.00307304 
420 9 0.0181263 0.00339434 0.0031508 
420 10 0.0194477 0.0036303 0.00336452 
420 11 0.021328 0.00399374 0.00369786 
420 12 0.0237488 0.00441878 0.0040856 
420 13 0.0266149 0.00495075 0.00457443 
420 14 0.0298815 0.00554904 0.00512406 
420 15 0.0334436 0.00620903 0.0057315 
420 16 0.0374801 0.00696487 0.00642755 
420 17 0.0417572 0.00773538 0.00713519 
420 18 0.0463967 0.00860333 0.00793497 
420 19 0.05128 0.00950419 0.00876444 
420 20 0.0564753 0.0104901 0.00967446 
420 25 0.0869807 0.0161028 0.0148425 
420 30 0.124603 0.0232445 0.0214352 
420 35 0.169251 0.0312827 0.0288232 
420 40 0.220635 0.0408593 0.0376501 
420 45 0.279481 0.0520878 0.0480288 
420 50 0.344865 0.063778 0.0587594 
420 55 0.417002 0.0773079 0.0712475 
420 60 0.496126 0.0923532 0.0851394 
440 0.1 49.3971 9.32635 8.78657 
440 0.2 12.3733 2.35924 2.22326 
440 0.3 5.49508 1.03742 0.977063 
440 0.4 3.08932 0.585201 0.551217 
440 0.5 1.9791 0.373695 0.35196 
440 0.6 1.37143 0.257914 0.242807 
440 0.7 1.009 0.19043 0.179333 
440 0.8 0.772755 0.1455 0.137008 
440 0.9 0.610666 0.115425 0.108709 
440 1 0.494759 0.0934703 0.0880373 
440 2 0.124129 0.0232443 0.021882 
440 3 0.0559995 0.0105926 0.00997586 
440 4 0.0327998 0.00619785 0.00583366 
440 5 0.022694 0.00427655 0.00402081 
440 6 0.0179758 0.00338881 0.00318196 
